,Word,Frequency
0,said,97255
1,trump,47677
2,usa,44378
3,would,31259
4,reuters,28614
5,president,27280
6,state,20282
7,government,18527
8,house,17655
9,new,17490
10,states,17485
11,republican,16629
12,also,15639
13,united,15328
14,people,14934
15,year,14130
16,told,14026
17,could,13665
18,one,13243
19,two,12734
20,election,12669
21,washington,12666
22,last,12600
23,party,11777
24,trumps,11518
25,former,10699
26,campaign,10580
27,north,10539
28,donald,10346
29,security,10269
30,white,10168
31,percent,9902
32,senate,9652
33,court,9628
34,minister,8956
35,first,8875
36,china,8792
37,tax,8603
38,officials,8508
39,clinton,8474
40,democratic,8446
41,foreign,8404
42,law,8291
43,years,8272
44,russia,8238
45,week,8237
46,national,8219
47,since,8216
48,country,8203
49,presidential,8193
50,military,8187
51,may,8147
52,including,7975
53,tuesday,7878
54,obama,7778
55,wednesday,7776
56,political,7729
57,korea,7547
58,statement,7540
59,administration,7488
60,thursday,7469
61,time,7409
62,vote,7389
63,bill,7323
64,support,7205
65,friday,7198
66,republicans,7068
67,monday,6913
68,group,6871
69,say,6777
70,congress,6708
71,called,6693
72,many,6626
73,million,6535
74,office,6512
75,federal,6425
76,made,6342
77,police,6342
78,deal,6337
79,official,6315
80,russian,6225
81,trade,6135
82,committee,6089
83,says,6060
84,news,6026
85,according,6010
86,leader,5998
87,iran,5911
88,saying,5874
89,policy,5870
90,department,5788
91,secretary,5707
92,three,5660
93,month,5595
94,nuclear,5569
95,eu,5539
96,next,5483
97,south,5483
98,democrats,5458
99,make,5430
