,Word,Frequency
0,trump,74297
1,said,24952
2,president,21547
3,people,21535
4,one,19323
5,would,18434
6,donald,15998
7,like,14640
8,obama,14624
9,clinton,14191
10,even,11478
11,also,11410
12,hillary,11141
13,via,11066
14,new,11034
15,white,10946
16,time,10909
17,news,10828
18,usa,10183
19,twitter,9803
20,state,9769
21,image,9689
22,video,9547
23,campaign,9160
24,right,9149
25,get,8913
26,house,8828
27,america,8534
28,know,8531
29,american,8450
30,republican,8350
31,media,8252
32,going,8162
33,featured,8112
34,first,8084
35,could,7921
36,states,7683
37,year,7586
38,make,7579
39,many,7465
40,country,7193
41,election,7106
42,way,7090
43,republicans,7081
44,say,7032
45,made,7024
46,back,6939
47,think,6902
48,two,6731
49,told,6720
50,well,6703
51,years,6698
52,us,6475
53,police,6443
54,government,6394
55,com,6297
56,party,6269
57,watch,6266
58,women,6250
59,black,6171
60,last,6103
61,want,5968
62,united,5956
63,may,5944
64,according,5784
65,says,5764
66,world,5735
67,much,5701
68,go,5663
69,see,5655
70,law,5606
71,man,5574
72,take,5492
73,former,5486
74,day,5450
75,americans,5320
76,political,5296
77,national,5219
78,really,5197
79,fact,5167
80,bill,5106
81,never,5072
82,pic,4996
83,called,4957
84,another,4876
85,every,4871
86,show,4858
87,public,4851
88,since,4850
89,vote,4810
90,still,4630
91,russia,4626
92,fox,4597
93,support,4597
94,gop,4535
95,presidential,4519
96,good,4482
97,images,4462
98,office,4417
99,saying,4228
